stock_id,Date,Open,High,Low,Close,Volume
1,1/1/2016,102.610001,105.849998,96.43,96.449997,272992200
1,1/8/2016,98.550003,101.190002,95.739998,99.519997,295301300
1,1/15/2016,96.199997,98.650002,93.419998,96.300003,257417500
1,1/22/2016,98.629997,101.529999,92.389999,94.089996,381720500
1,1/29/2016,94.790001,97.339996,94.080002,96.599998,235153200
1,2/5/2016,96.519997,96.919998,92.589996,93.699997,237189000
1,2/12/2016,94.190002,98.889999,93.010002,96.260002,173293500
1,2/19/2016,96,96.900002,93.32,96.760002,165436000
1,2/26/2016,97.199997,101.709999,96.580002,101.5,184739800
1,3/4/2016,102.370003,103.75,100.150002,101.169998,174161200
1,3/11/2016,102.239998,106.470001,101.5,105.800003,165276200
1,3/18/2016,106.339996,107.650002,104.889999,105.669998,163988800
1,3/25/2016,106,110.419998,104.879997,108.989998,122091000
1,4/1/2016,108.779999,112.190002,108.120003,108.540001,148014900
1,4/8/2016,108.910004,112.389999,108.169998,112.099998,138952700
1,4/15/2016,112.110001,112.300003,105.519997,105.970001,202308900
1,4/22/2016,105.010002,106.480003,94.25,94.830002,314575700
1,4/29/2016,93.989998,95.900002,92.400002,93.239998,250438900
1,5/6/2016,93.370003,93.769997,89.470001,90.339996,215356900
1,5/13/2016,90,95.209999,90,94.199997,225074000
1,5/20/2016,94.639999,100.730003,94.519997,100.410004,199684800
1,5/27/2016,99.440002,100.470001,96.629997,97.720001,148013300
1,6/3/2016,97.790001,101.889999,97.449997,99.650002,121656400
1,6/10/2016,98.529999,99.349998,96.07,97.550003,162437300
1,6/17/2016,96.620003,96.889999,94.68,96.099998,192425800
1,6/24/2016,92.910004,95.769997,91.5,95.599998,233613300
1,7/1/2016,95.489998,96.5,94.370003,95.940002,109820400
1,7/8/2016,96.489998,98.989998,96.050003,98.790001,141685700
1,7/15/2016,98.919998,101,98.5,99.43,149388800
1,7/22/2016,99.260002,104.449997,96.419998,104.339996,257151000
1,7/29/2016,104.190002,106.150002,103.68,105.870003,157329500
